položaj,ime,celina,država,ocena,višinska_razlika,proge,modre,rdeče,črne,žičnice
905,Bagolino  (temporarily closed),Europe,Italy,2.7,634.0,15.0,3.0,10.0,2.0,6
905,Teton Pass,North America,USA,2.7,308.0,15.0,6.0,5.0,4.0,6
905,Axalp ob Brienz,Europe,Switzerland,2.7,537.0,15.0,11.0,1.5,2.5,6
905,Idre Himmelfjäll,Europe,Sweden,2.7,323.0,15.0,11.3,3.0,0.7,11
905,Las Araucarias/Llaima – Vilcún,South America,Chile,2.7,392.0,15.0,10.0,4.0,1.0,4
905,Baikalsk – Sobolinaya,Asia,Russia,2.7,479.0,15.0,6.6,4.9,3.5,7
905,Kranzberg – Mittenwald,Europe,Germany,2.6,370.0,15.0,6.0,7.0,2.0,10
905,Tusten – Molde,Europe,Norway,2.6,518.0,15.0,10.0,3.0,2.0,4
905,Terre Ronde/La Praille – Plateau d’Hauteville,Europe,France,2.6,290.0,15.0,3.0,11.0,1.0,4
905,Storlien,Europe,Sweden,2.6,191.0,15.0,4.0,8.0,3.0,9
905,Schwefelberg – Badmatte/Louigrat  (temporarily closed),Europe,Switzerland,2.6,318.0,15.0,5.0,8.0,2.0,nan
905,Fideriser Heuberge – Arflina,Europe,Switzerland,2.6,404.0,15.0,5.0,9.0,1.0,4
905,La Forclaz,Europe,Switzerland,2.5,470.0,15.0,8.0,7.0,0.0,3
905,Simonhöhe – St. Urban,Europe,Austria,2.5,298.0,15.0,8.0,7.0,0.0,7
905,Eikedalen,Europe,Norway,2.5,461.0,15.0,10.0,5.0,0.0,8
905,Les Plans d'Hotonnes,Europe,France,2.5,250.0,15.0,13.7,1.3,0.0,9
905,Norus (Nooruz),Asia,Kyrgyzstan,nan,1524.0,15.0,nan,nan,nan,3
905,Hakusan Sena Kogen  (temporarily closed),Asia,Japan,nan,760.0,15.0,3.0,9.0,3.0,4
905,Fulong,Asia,China,nan,410.0,15.0,nan,nan,nan,6
960,Hlíðarfjall – Akureyri,Europe,Iceland,2.7,514.0,14.9,6.0,7.0,1.9,8
961,Vrátna,Europe,Slovakia,2.9,920.0,14.6,1.0,7.9,5.7,13
962,Sappada,Europe,Italy,2.8,777.0,14.5,4.0,8.2,2.3,9
962,Black Mountain – Rumford,North America,USA,2.7,335.0,14.5,2.2,5.5,6.8,3
962,Mt. Abram,North America,USA,2.7,320.0,14.5,3.5,7.0,4.0,4
965,Oze Iwakura,Asia,Japan,2.9,689.0,14.4,1.4,8.3,4.7,11
965,Borno – Monte Altissimo,Europe,Italy,2.8,742.0,14.4,0.5,10.8,3.1,4
967,Babin Do – Bjelašnica,Europe,Bosnia and Herzegovina,3.1,800.0,14.3,4.9,7.8,1.6,8
967,Yomase/Takaifuji (Mt. Kosha),Asia,Japan,2.8,515.0,14.3,5.8,6.4,2.1,8
969,Spitzingsee-Tegernsee,Europe,Germany,3.5,600.0,14.2,1.7,8.2,4.3,10
969,Safed Dara,Asia,Tajikistan,3.1,759.0,14.2,7.0,7.2,0.0,3
969,Fageralm – Forstau,Europe,Austria,2.7,955.0,14.2,9.3,4.9,0.0,7
969,Haukelifjell Skisenter,Europe,Norway,2.6,361.0,14.2,2.4,9.2,2.6,6
969,Camurac,Europe,France,2.6,245.0,14.2,8.3,1.6,4.3,5
974,Ontake,Asia,Japan,3.0,560.0,14.1,9.7,3.5,0.9,6
974,Geto Kogen,Asia,Japan,3.0,430.0,14.1,5.7,5.1,3.3,5
974,Pec pod Sněžkou,Europe,Czech Republic,2.7,385.0,14.1,6.1,7.5,0.5,14
974,Mount Cain,North America,Canada,2.6,420.0,14.1,3.5,6.0,4.6,3
978,Söllereck – Oberstdorf,Europe,Germany,3.7,630.0,14.0,7.9,5.4,0.7,7
978,Zauberberg Semmering,Europe,Austria,3.2,365.0,14.0,6.5,6.5,1.0,2
978,Palcall Tsumagoi,Asia,Japan,3.0,620.0,14.0,5.0,7.5,1.5,4
978,Yakebitaiyama,Asia,Japan,3.0,451.0,14.0,2.1,10.5,1.4,5
978,Sugar Mountain,North America,USA,2.9,340.0,14.0,4.0,7.0,3.0,7
978,Cascade Mountain,North America,USA,2.9,128.0,14.0,5.0,5.0,4.0,10
978,Corno alle Scale – Lizzano in Belvedere,Europe,Italy,2.8,527.0,14.0,5.0,7.0,2.0,6
978,Boyne Mountain,North America,USA,2.8,152.0,14.0,4.1,5.7,4.2,10
978,Campo Stella – Leonessa,Europe,Italy,2.8,567.0,14.0,11.0,1.0,2.0,2
978,Kellerjoch – Schwaz,Europe,Austria,2.8,535.0,14.0,9.5,2.4,2.1,5
978,Aflenz Bürgeralm,Europe,Austria,2.8,1000.0,14.0,2.0,10.0,2.0,8
978,Whitecap Mountains,North America,USA,2.8,98.0,14.0,5.0,5.0,4.0,6
978,La Hoya,South America,Argentina,2.8,645.0,14.0,2.8,5.6,5.6,8
978,Björnrike,Europe,Sweden,2.8,440.0,14.0,8.0,4.0,2.0,15
978,Beech Mountain,North America,USA,2.8,254.0,14.0,3.0,7.0,4.0,8
978,Balea Lac,Europe,Romania,2.8,508.0,14.0,0.0,0.0,14.0,nan
978,Mont Comi,North America,Canada,2.8,306.0,14.0,5.0,5.0,4.0,4
978,Tahoe Donner,North America,USA,2.7,183.0,14.0,6.0,8.0,0.0,2
978,Mont La Réserve – Saint-Donat-de-Montcalm,North America,Canada,2.7,240.0,14.0,5.0,2.0,7.0,3
978,Hallingskarvet,Europe,Norway,2.6,509.0,14.0,3.0,7.0,4.0,3
978,Königsberg – Hollenstein an der Ybbs,Europe,Austria,2.6,357.0,14.0,7.0,5.0,2.0,6
978,Tramelan,Europe,Switzerland,2.6,308.0,14.0,6.0,6.0,2.0,3
1000,Nordkette – Innsbruck,Europe,Austria,3.2,1396.0,13.9,0.5,13.0,0.4,6
1000,Shirakaba Kogen,Asia,Japan,nan,294.0,13.9,5.5,6.3,2.1,3
1002,Norikura,Asia,Japan,2.9,500.0,13.8,6.2,5.5,2.1,10
1002,Turner Mountain,North America,USA,2.8,643.0,13.8,2.1,5.5,6.2,nan
1004,Tetnuldi – Mestia,Asia,Georgia,3.0,895.0,13.7,5.3,6.4,2.0,5
1004,Petzen – Feistritz ob Bleiburg,Europe,Austria,3.0,1250.0,13.7,7.2,5.9,0.6,6
1004,Poiana Brașov,Europe,Romania,2.9,842.0,13.7,5.8,2.8,5.1,10
1004,Horní Domky – Lysá Hora,Europe,Czech Republic,2.9,673.0,13.7,7.6,4.7,1.4,9
1004,Czarna Góra – Sienna,Europe,Poland,2.8,386.0,13.7,5.8,6.3,1.6,13
1009,Champorcher,Europe,Italy,3.0,1060.0,13.6,0.7,9.5,3.4,7
1009,Mechi Chal – Chepelare,Europe,Bulgaria,3.0,718.0,13.6,8.3,5.3,0.0,2
1011,Catinaccio/Ciampedie – Vigo di Fassa/Pera di Fassa,Europe,Italy,3.7,773.0,13.5,6.4,6.2,0.9,6
1011,Mönichkirchen/Mariensee,Europe,Austria,3.6,567.0,13.5,5.5,6.0,2.0,5
1011,Lipno,Europe,Czech Republic,3.2,190.0,13.5,10.9,2.1,0.5,8
1011,Cerro Perito Moreno – El Bolsón (Laderas),South America,Argentina,2.7,740.0,13.5,4.0,7.5,2.0,8
1015,Pyhä,Europe,Finland,4.0,297.0,13.4,7.0,4.4,2.0,9
1015,Nesfjellet – Nesbyen,Europe,Norway,2.9,383.0,13.4,4.9,6.9,1.6,6
1015,Schia – Monte Caio,Europe,Italy,2.7,283.0,13.4,1.9,9.1,2.4,3
1018,Piancavallo,Europe,Italy,2.9,620.0,13.3,2.2,10.0,1.1,12
1018,Målselv Fjellandsby,Europe,Norway,2.6,500.0,13.3,3.8,4.9,4.6,3
1020,Lac Blanc,Europe,France,2.7,343.0,13.2,2.0,3.0,8.2,9
1021,Ukkohalla,Europe,Finland,2.6,135.0,13.1,5.3,5.9,1.9,5
1022,Rangger Köpfl – Oberperfuss,Europe,Austria,3.2,1110.0,13.0,7.0,4.0,2.0,5
1022,Rittner Horn (Corno del Renon) – Ritten (Renon),Europe,Italy,3.0,722.0,13.0,8.0,2.6,2.4,3
1022,Oeschinensee – Kandersteg,Europe,Switzerland,2.9,530.0,13.0,4.1,8.9,0.0,6
1022,Mont Avila,North America,Canada,2.9,229.0,13.0,5.0,5.0,3.0,3
1022,Stara Planina – Babin Zub,Europe,Serbia,2.8,518.0,13.0,7.0,3.0,3.0,6
1022,Berkshire East,North America,USA,2.8,360.0,13.0,6.0,4.0,3.0,5
1022,Adria Ski – Kupres,Europe,Bosnia and Herzegovina,2.8,339.0,13.0,5.9,7.1,0.0,5
1022,Oku Kannabe,Asia,Japan,2.8,580.0,13.0,4.0,5.0,4.0,7
1022,Mont Béchervaise,North America,Canada,2.8,244.0,13.0,4.0,4.0,5.0,nan
1022,Krinnenalpe – Nesselwängle  (temporarily closed),Europe,Austria,2.8,521.0,13.0,5.0,7.0,1.0,6
1022,Mt. Ashland,North America,USA,2.8,354.0,13.0,1.0,7.0,5.0,5
1022,Saint-Michel-de-Chaillol,Europe,France,2.8,550.0,13.0,5.0,5.0,3.0,8
1022,Mt. Bohemia,North America,USA,2.7,255.0,13.0,0.0,3.0,10.0,2
1022,Zahmer Kaiser – Walchsee,Europe,Austria,2.7,600.0,13.0,11.0,2.0,0.0,3
1022,Song Mountain,North America,USA,2.7,185.0,13.0,4.5,6.0,2.5,5
1022,Oi-Qaragai – Lesnaya Skazka,Asia,Kazakhstan,2.7,270.0,13.0,8.0,4.0,1.0,11
1022,Val d'Irène,North America,Canada,2.7,274.0,13.0,3.0,4.0,6.0,2
1022,Kubínska hoľa,Europe,Slovakia,2.7,676.0,13.0,1.5,9.5,2.0,10
1022,Canyon Ski Area,North America,Canada,2.7,146.0,13.0,5.0,7.0,1.0,6
1022,Rüschegg-Eywald – Lischboden,Europe,Switzerland,2.6,500.0,13.0,8.0,4.0,1.0,2
1022,Lagunillas,South America,Chile,2.6,350.0,13.0,5.0,4.0,4.0,3
1022,Sauda Skisenter,Europe,Norway,2.6,465.0,13.0,7.0,4.0,2.0,5
1022,Rieseralm – Obdach,Europe,Austria,2.6,300.0,13.0,5.0,6.0,2.0,5
1022,Suomu,Europe,Finland,2.6,248.0,13.0,5.0,6.0,2.0,5
1022,Kreuzberg – Bischofsheim an der Rhön,Europe,Germany,2.5,318.0,13.0,5.0,8.0,0.0,4
1022,Shirao  (temporarily closed),Asia,Japan,nan,488.0,13.0,4.0,5.0,4.0,6
1022,Shimao Lotus Mountain,Asia,China,nan,115.0,13.0,nan,nan,nan,4
1049,Nebelhorn – Oberstdorf,Europe,Germany,3.7,1396.0,12.9,2.8,5.1,5.0,6
1049,Ramsau am Dachstein – Rittisberg,Europe,Austria,3.4,601.0,12.9,7.7,4.2,1.0,8
1051,Ankogel – Mallnitz,Europe,Austria,3.3,1370.0,12.8,2.8,5.0,5.0,5
1051,Sky Valley,Asia,Japan,2.8,500.0,12.8,1.2,9.2,2.4,5
1053,Forni di Sopra,Europe,Italy,3.0,1193.0,12.7,0.9,11.0,0.8,8
1053,Todtnauberg,Europe,Germany,2.7,400.0,12.7,3.4,9.3,0.0,6
1055,Baranci (Haunold) – San Candido (Innichen),Europe,Italy,2.9,435.0,12.6,7.2,5.1,0.3,5
1055,Hodaigi Resort – Minakami,Asia,Japan,2.9,570.0,12.6,4.6,5.0,3.0,8
1055,Bjursås,Europe,Sweden,2.8,180.0,12.6,5.6,4.1,2.9,10
1055,The Balsams  (temporarily closed),North America,USA,2.7,297.0,12.6,3.4,4.0,5.2,nan
1055,La Serra (Jura sur Léman),Europe,France,2.6,272.0,12.6,7.3,4.1,1.2,6
1060,Ravna Planina,Europe,Bosnia and Herzegovina,3.0,361.0,12.5,10.7,1.4,0.4,3
1060,Annaberg,Europe,Austria,2.7,404.0,12.5,8.0,2.5,2.0,6
1062,Himos,Europe,Finland,2.6,151.0,12.4,2.3,5.5,4.6,17
1063,Tufandağ,Asia,Azerbaijan,3.1,945.0,12.3,6.2,2.7,3.4,4
1063,Welli Hilli Park,Asia,South Korea,3.0,323.0,12.3,3.0,4.3,5.0,8
1063,Șureanu,Europe,Romania,2.7,360.0,12.3,1.7,9.2,1.4,3
1066,Grebenzen – St. Lambrecht,Europe,Austria,3.3,860.0,12.2,2.9,9.0,0.3,9
1066,Obertilliach – Golzentipp,Europe,Austria,2.9,818.0,12.2,3.4,7.8,1.0,5
1066,Chelmos – Kalavrita,Europe,Greece,2.9,625.0,12.2,4.8,5.8,1.6,8
1066,Wolzenalp – Krummenau,Europe,Switzerland,2.7,736.0,12.2,0.2,9.0,3.0,6
1070,Zao Eboshi,Asia,Japan,2.9,700.0,12.1,7.7,2.6,1.8,8
1071,Dundret Lapland – Gällivare,Europe,Sweden,3.7,330.0,12.0,6.0,3.0,3.0,5
1071,Beitostølen,Europe,Norway,3.1,201.0,12.0,9.0,3.0,0.0,6
1071,Hochstein – Lienz  (temporarily closed),Europe,Austria,3.1,1320.0,12.0,0.5,7.3,4.2,4
1071,Stari Vrh,Europe,Slovenia,3.0,637.0,12.0,4.0,6.0,2.0,4
1071,Minowa,Asia,Japan,3.0,450.0,12.0,3.6,6.0,2.4,3
1071,Wachusett Mountain,North America,USA,3.0,305.0,12.0,3.6,4.8,3.6,4
1071,Krippenstein – Obertraun,Europe,Austria,2.9,1500.0,12.0,3.0,9.0,0.0,7
1071,Gressoney-Saint-Jean – Weissmatten,Europe,Italy,2.9,675.0,12.0,6.0,4.0,2.0,4
1071,Cerro Bayo,South America,Argentina,2.9,680.0,12.0,5.0,4.0,3.0,11
1071,Pooladkaf,Asia,Iran,nan,411.0,12.0,nan,nan,nan,2
1071,Inawashiro,Asia,Japan,2.9,580.0,12.0,6.0,4.0,2.0,8
1071,Iox Arosa,Asia,Japan,2.9,500.0,12.0,4.0,6.0,2.0,6
1071,Plešivec – Abertamy,Europe,Czech Republic,2.9,319.0,12.0,10.0,1.1,0.9,9
1071,Veľká Rača,Europe,Slovakia,2.9,389.0,12.0,5.0,6.0,1.0,5
1071,Karwendel Bergbahn (Zwölferkopf) – Pertisau,Europe,Austria,2.9,600.0,12.0,6.0,6.0,0.0,5
1071,Kampenwand – Aschau im Chiemgau,Europe,Germany,2.9,849.0,12.0,4.0,7.0,1.0,4
1071,Szklarska Poręba – Szrenica,Europe,Poland,2.8,605.0,12.0,3.3,6.7,2.0,8
1071,Chalmazel,Europe,France,2.8,490.0,12.0,5.0,5.0,2.0,9
1071,Giants Ridge,North America,USA,2.8,120.0,12.0,4.0,5.0,3.0,6
1071,Monte Catria,Europe,Italy,2.8,906.0,12.0,2.2,9.5,0.3,3
1071,Muikamachi Hakkaisan,Asia,Japan,2.8,792.0,12.0,1.5,6.0,4.5,4
1071,Pilsko – Korbielów,Europe,Poland,2.8,770.0,12.0,4.6,7.4,0.0,11
1071,Rogla,Europe,Slovenia,2.8,467.0,12.0,2.0,8.5,1.5,12
1071,Kelly Canyon,North America,USA,2.7,260.0,12.0,4.0,5.0,3.0,5
1071,Utopia Saioto,Asia,Japan,2.7,415.0,12.0,5.0,5.0,2.0,6
1071,Shanty Creek Resorts – Schuss Mountain,North America,USA,2.7,106.0,12.0,5.0,4.0,3.0,8
1071,Mt. Kato,North America,USA,2.7,72.0,12.0,2.5,4.5,5.0,10
1071,Jack Frost Mountain,North America,USA,2.7,183.0,12.0,6.0,5.5,0.5,8
1071,Black Mountain – Jackson,North America,USA,2.7,309.0,12.0,6.0,4.0,2.0,5
1071,Oak Mountain,North America,USA,2.7,199.0,12.0,6.0,4.0,2.0,4
1071,Garéssio 2000,Europe,Italy,2.7,236.0,12.0,7.2,4.2,0.6,4
1071,Zil,Asia,Kyrgyzstan,2.7,480.0,12.0,4.0,6.0,2.0,5
1071,Trostyan Mountain,Europe,Ukraine,2.7,550.0,12.0,3.0,7.0,2.0,8
1071,Passy Plaine Joux,Europe,France,2.6,400.0,12.0,8.0,4.0,0.0,7
1071,Säfsen,Europe,Sweden,2.6,153.0,12.0,8.0,2.0,2.0,7
1071,Niederalpl – Mürzsteg (Neuberg an der Mürz),Europe,Austria,2.6,240.0,12.0,4.0,8.0,0.0,6
1071,Mörlialp – Giswil,Europe,Switzerland,2.6,482.0,12.0,2.8,7.2,2.0,8
1071,Stryn Skisenter,Europe,Norway,2.5,675.0,12.0,6.0,6.0,0.0,4
1071,Donezan – Mijanès,Europe,France,2.5,486.0,12.0,6.0,3.0,3.0,5
1071,Pallas,Europe,Finland,2.5,340.0,12.0,8.0,3.0,1.0,2
1071,Schwabenbergarena – Turnau,Europe,Austria,2.5,450.0,12.0,3.0,8.0,1.0,4
1071,Font d'Urle – Chaud Clapier,Europe,France,2.5,293.0,12.0,3.0,8.5,0.5,11
1071,Mont Serein/Mont Ventoux Nord,Europe,France,2.5,400.0,12.0,4.5,6.0,1.5,7
1071,Hodlekve – Sogndal,Europe,Norway,2.5,451.0,12.0,8.0,3.0,1.0,5
1071,Salzstiegl – Hirschegg,Europe,Austria,2.5,420.0,12.0,6.0,4.0,2.0,7
1071,Jäckvik,Europe,Sweden,2.5,375.0,12.0,7.1,4.9,0.0,nan
1071,Big Tupper – Tupper Lake  (temporarily closed),North America,USA,nan,473.0,12.0,5.0,5.0,2.0,5
1118,Tainai,Asia,Japan,2.8,553.0,11.9,5.5,5.6,0.8,9
1118,Graukogel – Bad Gastein,Europe,Austria,2.7,928.0,11.9,3.5,6.4,2.0,3
1118,Elatochori – Katerini,Europe,Greece,2.7,502.0,11.9,8.3,2.6,1.0,5
1118,Herlíkovice-Bubákov,Europe,Czech Republic,2.7,469.0,11.9,6.5,4.8,0.6,10
1122,Tatranská Lomnica,Europe,Slovakia,3.5,1302.0,11.8,5.4,5.2,1.2,9
1122,Hakodate Nanae,Asia,Japan,3.0,689.0,11.8,8.0,2.8,1.0,3
1122,Wurmberg – Braunlage,Europe,Germany,2.9,405.0,11.8,10.0,1.3,0.5,7
1125,Osorno,South America,Chile,2.8,530.0,11.7,3.6,5.6,2.5,4
1125,Pippu,Asia,Japan,2.7,320.0,11.7,5.2,4.0,2.5,7
1125,Iso-Syöte – Pudasjärvi,Europe,Finland,2.5,195.0,11.7,4.0,5.2,2.5,9
1128,Yokoteyama-Shibutoge,Asia,Japan,2.8,602.0,11.6,7.5,3.1,1.0,8
1128,Pine Ridge Resort – Kandatsu,Asia,Japan,2.7,498.0,11.6,3.8,3.8,4.0,7
1128,White Pine – Pinedale,North America,USA,2.7,305.0,11.6,3.7,2.6,5.3,3
1128,Funiushan – Luanchuan,Asia,China,nan,360.0,11.6,6.5,2.6,2.5,4
1132,Arber,Europe,Germany,3.7,406.0,11.5,4.5,4.0,3.0,6
1132,Kouty nad Desnou,Europe,Czech Republic,2.9,521.0,11.5,5.5,5.3,0.7,5
1132,Bürgeralpe – Mariazell,Europe,Austria,2.9,416.0,11.5,7.0,3.0,1.5,4
1132,Whaleback,North America,USA,2.7,196.0,11.5,5.2,2.8,3.5,3
1132,Sassotetto – Santa Maria Maddalena,Europe,Italy,2.7,303.0,11.5,2.5,8.0,1.0,7
1137,Konakli (Ejder 3200 World Ski Center),Asia,Turkey,3.0,573.0,11.4,3.8,0.4,7.2,3
1138,Hirnkopf – Flattnitz (Glödnitz),Europe,Austria,2.7,440.0,11.3,5.5,1.5,4.3,5
1139,Galsterberg – Pruggern,Europe,Austria,3.5,842.0,11.2,4.1,6.6,0.5,5
1139,Ørsta Skisenter,Europe,Norway,2.7,550.0,11.2,6.6,4.2,0.4,4
1139,Wendelstein – Brannenburg/Osterhofen,Europe,Germany,2.6,932.0,11.2,0.0,7.0,4.2,4
1139,Valbella – Gallio  (temporarily closed),Europe,Italy,2.5,211.0,11.2,8.0,2.5,0.7,6
1143,Bobrovy Log – Krasnoyarsk,Asia,Russia,2.8,359.0,11.1,4.7,3.3,3.1,6
1144,Biberwier – Marienberg,Europe,Austria,3.4,820.0,11.0,7.3,3.7,0.0,5
1144,Donovaly (Park Snow),Europe,Slovakia,3.3,447.0,11.0,5.0,5.9,0.1,23
1144,Grasgehren – Bolgengrat,Europe,Germany,3.3,217.0,11.0,2.5,8.5,0.0,5
1144,Winghills Shirotori Resort,Asia,Japan,3.0,480.0,11.0,4.5,2.8,3.7,4
1144,O2 Resort – Taebaek,Asia,South Korea,3.0,575.0,11.0,7.0,4.0,0.0,8
1144,Schetteregg – Egg,Europe,Austria,3.0,255.0,11.0,4.0,6.0,1.0,8
1144,Sapporo Kokusai – Jozankei Kogen,Asia,Japan,3.0,470.0,11.0,4.0,5.0,2.0,5
1144,Rofan – Maurach,Europe,Austria,2.9,890.0,11.0,1.0,8.0,2.0,5
1144,Aizu Kogen Daikurayama,Asia,Japan,2.9,362.0,11.0,4.0,6.0,1.0,5
1144,Mountain High East,North America,USA,2.9,486.0,11.0,2.0,5.0,4.0,4
1144,Darbandsar,Asia,Iran,2.9,860.0,11.0,6.0,5.0,0.0,6
1144,Panorama Area – Hachimantai,Asia,Japan,2.9,460.0,11.0,8.0,3.0,0.0,4
1144,Spirit Mountain,North America,USA,2.8,180.0,11.0,4.0,5.0,2.0,6
1144,Ikenotaira Onsen,Asia,Japan,2.8,728.0,11.0,4.0,5.0,2.0,6
1144,Tarscher Alm (Malga di Tarres) – Latsch (Laces)  (temporarily closed),Europe,Italy,nan,1066.0,11.0,1.0,10.0,0.0,4
1144,The Cedars,Asia,Lebanon,2.7,700.0,11.0,4.0,3.0,4.0,6
1144,Antoine Mountain,North America,Canada,2.7,192.0,11.0,4.0,4.0,3.0,2
1144,Bluewood,North America,USA,2.7,343.0,11.0,3.0,5.0,3.0,5
1144,Loup Loup Ski Bowl,North America,USA,2.7,380.0,11.0,3.0,5.0,3.0,3
1144,Caberfae Peaks,North America,USA,2.7,110.0,11.0,4.0,5.0,2.0,5
1144,Cerro Mirador – Punta Arenas,South America,Chile,2.7,190.0,11.0,4.0,5.0,2.0,2
1144,Deer Mountain,North America,USA,2.7,187.0,11.0,5.0,4.0,2.0,3
1144,Kungsberget,Europe,Sweden,2.7,200.0,11.0,6.5,3.0,1.5,14
1144,Buffalo,North America,USA,2.7,145.0,11.0,5.0,4.0,2.0,6
1144,Heutal – Unken,Europe,Austria,2.7,561.0,11.0,6.0,5.0,0.0,4
1144,Hovfjället – Torsby,Europe,Sweden,2.6,139.0,11.0,6.0,4.0,1.0,6
1144,Cordon,Europe,France,2.5,550.0,11.0,4.0,7.0,0.0,7
1144,Mont Miller,North America,Canada,2.5,283.0,11.0,2.0,4.0,5.0,nan
1144,Hohentauern,Europe,Austria,2.5,493.0,11.0,3.0,7.0,1.0,6
1144,Edsåsdalen,Europe,Sweden,2.5,382.0,11.0,6.0,5.0,0.0,5
1144,Selvarotonda – Cittareale,Europe,Italy,2.5,238.0,11.0,4.0,7.0,0.0,3
1144,Heidialm Skipark – Falkert,Europe,Austria,2.5,267.0,11.0,3.0,8.0,0.0,3
1144,Okunakayamakogen,Asia,Japan,nan,368.0,11.0,5.0,3.0,3.0,5
1177,Swain,North America,USA,2.7,200.0,10.9,3.0,4.2,3.7,5
1177,Kelchsau  (temporarily closed),Europe,Austria,2.6,830.0,10.9,6.8,4.1,0.0,5
1179,Grandeco Snow Resort,Asia,Japan,2.9,580.0,10.8,4.8,2.8,3.2,5
1179,Vuokatti,Europe,Finland,2.6,160.0,10.8,5.0,4.8,1.0,7
1181,Antagnod,Europe,Italy,3.0,577.0,10.7,6.4,4.0,0.3,4
1181,Peek'n Peak,North America,USA,2.7,105.0,10.7,2.0,6.3,2.4,10
1183,Feuerkogel – Ebensee,Europe,Austria,3.3,1205.0,10.6,6.5,3.1,1.0,8
1183,Ještěd – Liberec,Europe,Czech Republic,2.8,399.0,10.6,3.8,6.2,0.6,10
1183,Owani Onsen,Asia,Japan,2.7,338.0,10.6,6.5,3.1,1.0,3
1186,Blanche Takayama,Asia,Japan,2.7,457.0,10.5,2.1,5.2,3.2,6
1186,Pin Rouge,North America,Canada,2.7,450.0,10.5,3.5,3.0,4.0,nan
1186,Magic Mountain Resort,North America,USA,2.7,226.0,10.5,3.0,3.5,4.0,2
1186,Saskadena Six,North America,USA,2.7,191.0,10.5,3.5,4.0,3.0,3
1186,Rewild Ninja Snow Highland,Asia,Japan,2.7,155.0,10.5,4.9,3.2,2.4,2
1186,San Simone (Brembo Ski)  (temporarily closed),Europe,Italy,2.7,432.0,10.5,2.0,5.0,3.5,6
1186,La Féclaz,Europe,France,2.6,199.0,10.5,6.0,3.0,1.5,5
1186,Brunnalm/Hohe Veitsch – Veitsch (St. Barbara im Mürztal),Europe,Austria,2.6,386.0,10.5,5.0,3.5,2.0,6
1186,Hochhäderich – Hittisau,Europe,Austria,2.6,350.0,10.5,3.5,5.0,2.0,5
1186,Manganui – Mount Taranaki,Australia and Oceania,New Zealand,2.4,420.0,10.5,0.5,3.5,6.5,4
1196,Lagorai/Passo Brocon – Castello Tesino,Europe,Italy,3.2,452.0,10.4,4.8,5.3,0.3,4
1196,Praděd/Myšák – Malá Morávka (Ski Karlov),Europe,Czech Republic,2.8,165.0,10.4,6.9,3.5,0.0,11
1196,Dolní Morava – Králický Sněžník,Europe,Czech Republic,2.8,570.0,10.4,5.8,4.0,0.6,8
1196,Mont Garceau,North America,Canada,2.7,305.0,10.4,4.0,3.0,3.4,2
1196,Tännäskröket,Europe,Sweden,2.6,327.0,10.4,5.0,5.0,0.4,5
1201,Hoch-Imst – Imst,Europe,Austria,3.6,973.0,10.3,2.6,5.8,1.9,4
1201,Etna Nord – Linguaglossa,Europe,Italy,2.8,526.0,10.3,1.5,8.8,0.0,4
1201,Schattwald/Zöblen,Europe,Austria,2.8,475.0,10.3,4.5,3.7,2.1,4
1201,Feldis,Europe,Switzerland,2.7,516.0,10.3,0.3,7.5,2.5,4
1201,Pratospilla,Europe,Italy,2.7,390.0,10.3,2.0,7.3,1.0,2
1206,Muntele Mic,Europe,Romania,2.8,379.0,10.2,3.6,6.6,0.0,5
1206,Whitetail,North America,USA,2.8,284.0,10.2,1.5,5.6,3.1,6
1206,Devil's Glen,North America,Canada,2.7,150.0,10.2,4.8,2.6,2.8,4
1206,Sasquatch Mountain – Hemlock Valley,North America,Canada,2.7,397.0,10.2,2.0,6.0,2.2,3
1210,Eremo di Monte Carpegna,Europe,Italy,2.6,161.0,10.1,3.4,6.7,0.0,2
1210,Voras – Kaimaktsalan,Europe,Greece,2.6,458.0,10.1,5.4,4.7,0.0,5
1210,Selital – Schwarzenbühl,Europe,Switzerland,2.5,307.0,10.1,4.7,4.3,1.1,3
1213,Watles – Malles Venosta (Mals),Europe,Italy,3.5,770.0,10.0,4.0,5.0,1.0,3
1213,Jungholz  (temporarily closed),Europe,Austria,3.2,442.0,10.0,7.0,3.0,0.0,7
1213,Jeongseon Alpine Centre  (temporarily closed),Asia,South Korea,3.0,825.0,10.0,3.0,3.0,4.0,3
1213,Myler Mountain Resort,Asia,Armenia,3.0,870.0,10.0,10.0,0.0,0.0,4
1213,San Vito di Cadore,Europe,Italy,3.0,536.0,10.0,4.0,5.0,1.0,5
1213,Mount Tanigawa – Tanigawadake Tenjindaira,Asia,Japan,3.0,756.0,10.0,1.0,8.0,1.0,5
1213,Iizuna Resort,Asia,Japan,2.9,600.0,10.0,4.0,3.5,2.5,3
1213,Nukabira Gensenkyo,Asia,Japan,2.9,660.0,10.0,4.0,4.5,1.5,2
1213,Ak-Bulak – Talgar,Asia,Kazakhstan,2.9,1032.0,10.0,4.0,3.0,3.0,11
1213,Burke Mountain,North America,USA,2.9,604.0,10.0,2.0,4.0,4.0,5
1213,Funäsdalsberget,Europe,Sweden,2.9,314.0,10.0,4.0,4.0,2.0,5
1213,Silk Road,Asia,China,2.9,600.0,10.0,5.0,3.0,2.0,9
