položaj,ime,celina,država,ocena,višinska_razlika,proge,modre,rdeče,črne,žičnice
563,Los Penitentes  (temporarily closed),South America,Argentina,2.9,615.0,25.5,1.2,10.0,14.3,7
564,Washigatake/White Pia,Asia,Japan,3.1,495.0,25.4,9.0,9.1,7.3,9
565,Schwemmalm,Europe,Italy,3.7,1120.0,25.1,7.1,14.3,3.7,5
566,Schlick 2000 – Fulpmes,Europe,Austria,3.9,1231.0,25.0,13.5,8.0,3.5,9
566,Nakiska,North America,Canada,3.7,735.0,25.0,4.2,14.7,6.1,6
566,Sahoro,Asia,Japan,3.7,620.0,25.0,8.6,7.1,9.3,8
566,Goldeck – Spittal an der Drau,Europe,Austria,3.5,1595.0,25.0,11.5,8.0,5.5,6
566,Bürchen/Törbel – Moosalp,Europe,Switzerland,3.3,1056.0,25.0,5.0,15.0,5.0,8
566,Yanqing National Alpine Ski Centre,Asia,China,3.3,1100.0,25.0,5.0,10.0,10.0,9
566,Gorny Vozdukh,Asia,Russia,3.2,645.0,25.0,15.5,7.5,2.0,7
566,Vals – Dachberg,Europe,Switzerland,3.2,1565.0,25.0,5.0,15.0,5.0,6
566,Gulmarg (Kongdoori-Apharwat),Asia,India,3.2,1330.0,25.0,2.5,5.0,17.5,6
566,Tsugaike Kogen,Asia,Japan,3.2,904.0,25.0,13.5,6.5,5.0,18
566,Togakushi,Asia,Japan,3.2,528.0,25.0,7.5,10.0,7.5,7
566,Espot Esqui,Europe,Spain,3.1,781.0,25.0,13.0,8.0,4.0,3
566,La Berra – La Roche,Europe,Switzerland,3.1,596.0,25.0,5.0,20.0,0.0,6
566,Strandafjellet,Europe,Norway,3.1,800.0,25.0,14.0,7.0,4.0,6
566,Silver Mountain,North America,USA,3.1,670.0,25.0,4.0,8.0,13.0,6
566,Alts Bandai,Asia,Japan,3.1,549.0,25.0,9.0,10.0,6.0,9
566,Waterville Valley,North America,USA,3.1,615.0,25.0,3.5,16.0,5.5,9
566,Wildcat Mountain,North America,USA,3.0,644.0,25.0,5.2,12.1,7.7,5
566,Norefjell,Europe,Norway,3.0,1010.0,25.0,17.0,5.0,3.0,14
566,Ceillac en Queyras,Europe,France,2.9,850.0,25.0,12.0,12.0,1.0,6
566,Mount Hermon – Neve Ativ,Asia,Israel,2.9,440.0,25.0,3.0,20.0,2.0,10
